 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
   Max.:          4.85E+02   8.91E-01   3.21E-03   8.47E-07   1.10E-07   4.83E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
  15.6    15.7    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  15.7    15.8    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  15.8    15.9    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  15.9    16.0    3.35E+02   6.91E-01   2.17E-03   5.75E-07   8.61E-08   4.83E-08
  16.0    16.1    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  16.1    16.2    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  16.2    16.3    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  16.3    16.4    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  16.4    16.5    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  16.5    16.6    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  16.6    16.7    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  16.7    16.8    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  16.8    16.9    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  16.9    17.0    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  17.0    17.1    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  17.1    17.2    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  17.2    17.3    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  17.3    17.4    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  17.4    17.5    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  17.5    17.6    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  17.6    17.7    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  17.7    17.8    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  17.8    17.9    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  17.9    18.0    7.58E-01   1.12E-03   1.31E-06   9.56E-10   1.23E-11   6.43E-12
  18.0    18.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.1    18.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.2    18.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.3    18.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.4    18.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.5    18.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.6    18.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.7    18.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.8    18.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.9    19.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.0    19.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.1    19.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.2    19.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.3    19.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.4    19.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.5    19.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.6    19.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.7    19.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.8    19.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.9    20.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.0    20.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.1    20.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.2    20.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.3    20.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.4    20.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.5    20.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.6    20.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.7    20.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.8    20.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.9    21.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.0    21.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.1    21.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.2    21.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.3    21.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.4    21.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.5    21.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.6    21.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.7    21.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.8    21.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.9    22.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.0    22.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.1    22.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.2    22.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.3    22.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.4    22.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.5    22.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.6    22.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.7    22.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.8    22.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.9    23.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
